Slot ID,Model,Loss Function,void,dirt,sand,grass,tree,pole,water,sky,vehicle,container/generic object,asphalt,gravel,building,mulch,rock-bed,log,bicycle,person,fence,bush,sign,rock,bridge,concrete,picnic-table,mIoU,Dice
041,Deeplabv3+,CE,0,0.016,0.4189,0.8009,0.9157,0.0174,0.182,0.726,0.5537,0.1144,0.5721,0.7339,0.6203,0.6777,0.3488,0.2023,0,0,0.3719,0.4801,0.0000,0.0595,0,0.362,0.3166,0.339608,0.9362
042,Deeplabv3+,FCIoUV2,0.1053,0.1822,0.4966,0.709,0.8597,0.3958,0.3446,0.7012,0.5942,0.4405,0.4664,0.6565,0.6219,0.6335,0.4235,0.3337,0.1654,0.3616,0.4126,0.4744,0.4383,0.3553,0,0.3086,0.4857,0.43866,0.8621
043,Deeplabv3+,FocalLoss,0,0.2075,0.6049,0.8312,0.9228,0.1179,0.2956,0.7216,0.6463,0.1892,0.6398,0.7642,0.6934,0.7275,0.7983,0.3017,0,0.0635,0.5622,0.5769,0.0000,0.2816,0,0.4734,0.4888,0.436332,0.9468
044,Deeplabv3+,DiceLoss,0,0,0,0.7435,0.8652,0,0,0.7139,0,0,0,0.6909,0,0.6322,0,0,0,0,0,0,0.0000,0,0,0,0,0.145828,0.8739
045,Deeplabv3+,PowerJaccard,0,0,0,0.7897,0.9014,0,0,0.7261,0.386,0,0.4838,0.7084,0.6017,0.6539,0,0.041,0,0,0,0.4698,0.0000,0,0,0,0,0.230472,0.9214
036,HRNetv2,CE,0,0.029,0.3457,0.7919,0.9153,0.038,0.1725,0.7251,0.579,0.1122,0.6113,0.7347,0.6294,0.6702,0.4714,0.2219,0,0,0.4449,0.4821,0,0.064,0,0.3606,0.3401,0.349572,0.9353
037,HRNetv2,FCIoUV2,0.1106,0.3099,0.5928,0.7731,0.8803,0.4745,0.4358,0.7024,0.6716,0.5197,0.6203,0.7247,0.6962,0.6919,0.4411,0.4231,0.1862,0.4653,0.5297,0.5816,0.4752,0.4332,0,0.4178,0.5735,0.50922,0.901
038,HRNetv2,FocalLoss,0,0.1222,0.5251,0.806,0.9177,0.123,0.2399,0.7215,0.6661,0.1851,0.6724,0.7528,0.6685,0.7037,0.7307,0.2988,0,0.079,0.5181,0.5196,0,0.2818,0,0.4282,0.5634,0.420944,0.9394
039,HRNetv2,DiceLoss,0,0,0,0.7282,0.8598,0,0,0.7001,0,0,0,0.6843,0,0.6321,0,0,0,0,0,0,0,0,0,0,0,0.14418,0.8696
040,HRNetv2,PowerJaccard,0,0,0,0.8064,0.9197,0,0,0.746,0.566,0,0.5879,0.7398,0.626,0.6751,0,0.1988,0,0,0.3121,0.507,0,0,0,0.1143,0,0.271964,0.931
031,Unet,CE,0,0,0.0243,0.7142,0.8817,0,0,0.7146,0.0112,0,0.4194,0.5963,0.4434,0.5532,0,0,0,0,0,0.2536,0,0,0,0.219,0,0.193236,0.8881
032,Unet,FCIoUV2,0.0003,0.0005,0.0655,0.6348,0.8253,0.0291,0,0.6977,0.3179,0.0075,0.1985,0.5185,0.3363,0.4746,0,0.0705,0,0,0.0332,0.2941,0,0.0006,0,0.0019,0.028,0.181392,0.8007
033,Unet,FocalLoss,0,0,0.0533,0.703,0.8828,0,0,0.7252,0.3558,0,0.3913,0.5953,0.4543,0.5607,0,0.0189,0,0,0,0.2567,0,0,0,0.0968,0,0.203764,0.887
034,Unet,DiceLoss,0,0,0,0.3865,0.5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037988,0.5384
